nl_prompt,expected,bleu1,bleu2,bleu3
Copy a file xyz.c to all directories or over all files matching the letter 'c' at the end of their names under current directory tree,"['find . -name ""*c"" -print0 | xargs -0 -n1 cp xyz.c']",0.4902885401835398,0.8663417591522049,0.4199491000827189
"Copy a large sparse file ""sparse-1"" to ""sparse-1-copy""",['rsync --sparse sparse-1 sparse-1-copy'],0.3719269499765384,0.6000527508684028,0.3841883303355709
"Copy all "".php"" files in ""projects/"" directory tree to ""copy/"" preserving directory hierarchy","[""find projects/ -name '*.php' -print | cpio -pdm copy/""]",0.7608257849019515,0.6377841131799394,0.3330302771719127
Copy all *.data files under /source_path to /target_path by appending the parent directory names in the source paths to the beginning of each of the target file names,"['find /source_path -name \\*.data  | while read -r filename; do cp ""${filename}"" ""$(printf ""%s\\n"" ""${filename}"" | sed ""s/^.*[/]\\(category[^/]*\\)[/]\\(.*[.]data\\)$/\\/target_path\\/\\1_\\2/"")""; done']",0.15306769156106742,0.46069244631872314,0.08475594763418504
Copy all files/directories excluding *.flac files under current directory to /media/wd/network_sync/music directory,"['find . -type f -iname ""*.flac"" -o -print0 -iname ""*.mp3"" -print0 -o -iname ""*.wav"" -print0 -o -iname ""*.aac"" -print0 -o -iname ""*.wma"" -print0 | while read -d $\'\\0\' file; do cp -ruv ""$file"" ""/media/wd/network_sync/music/$file""; done']",0.18360172580965228,0.27805517468837976,0.13103694654282047
"Copy all files and directories under the current directory into ""../new"" preserving relative paths",['find -print0 | sort -z | cpio -pdv0 ../new'],0.20828730328753645,0.26520133760900194,0.2898165933229327
Copy all files in current directory that do not match */exlude-path/* in their paths to /destination/ preserving directory structure,"[""find . -type f -not -path '*/exlude-path/*' -exec cp --parents '{}' '/destination/' \\;""]",0.6498949471715865,0.7145884745691181,0.532703245871459
Copy all files with '.png' (case insensitive) extension under '/home/mine' directory tree to '/home/mine/pngcoppies/' directory with new names constructed by prepending 'copy' in their names,"['find  /home/mine -iname ""*.png"" -printf ""%P\\n "" | xargs  -I % -n1 cp %  /home/mine/pngcoppies/copy%']",0.5060455613664695,0.2562332739645753,0.39350048580243074
copy all java files from current folder to another folder,"['find . -name ""*.java"" -print0 | xargs -0 -J % cp % destinationFolder']",0.35028451670334104,0.6667484892620814,0.3577819972516956
"Copy all regular files whose names end in ""~"" from the /path directory tree to ~/backups/","[""find /path -type f -name '*~' -print0 | xargs -0 -I % cp -a % ~/backups""]",0.7795019467085236,0.5097345993631499,0.7733749608074658
Copies file 'file.dat' to each top-level directory in the current directory.,['ls | xargs -n 1 cp -i file.dat'],0.23737937676867238,0.17055211658371033,0.5451726607820415
Copies file 'test' to each of directories like './fs*/*'.,['echo ./fs*/* | xargs -n 1 cp test'],0.41666679550051217,0.29699333884294415,1.7123797315708905e-78
"Copy file in current directory of local host to host ""remote"", connecting as ssh user matching current local username, and copying the file in home directory on remote host - enable compression during transfer.",['scp -C file remote:'],0.05150451782229873,0.09851256350910141,0.13409836513085674
"Copy file linked to by ""bar.pdf"" to ""bar.pdf""",['cp --remove-destination `readlink bar.pdf` bar.pdf'],0.29959088440660087,0.3296885548257799,0.1966069847473423
"Copy files printed by ""any_command_what_produces_relative_path_names"" to ""/new/parent/dir"" preserving the directory hierarchy",['any_command_what_produces_relative_path_names | cpio -pamVd /new/parent/dir'],0.7750033042842078,0.9018631087882776,0.8321345860828911
"Copy the owner and group from ""file.txt"" to ""$tempfile""","['chown --reference=file.txt -- ""$tempfile""']",0.4992604653741152,0.5272346626982867,0.4992604653741152
"Count the *.html files residing in the /usr/src directory tree and containing string ""foo""","['find /usr/src -name ""*.html"" | xargs grep -l foo | wc -l']",0.8882678083197124,0.7416052757883983,0.6619919979118285
count amount of jobs running,['jobs | wc -l'],0.35392223860508265,1.0,1.0
Count files in the current path by modification month,"[""find . -maxdepth 1 -type f -printf '%TY-%Tm\\n' | sort | uniq -c""]",0.28073892335835104,0.46431626555616345,0.3953227620609277
Counts lines in each *.php file sorted by file path.,"[""find . -name '*.php' -type f | sort | xargs wc -l""]",0.39675223738057297,0.7389307360551124,0.5245951259931204
Counts lines of 'file' file.,['wc -l file'],0.4578831372133982,0.4578831372133982,0.4578831372133982
Counts lines of /dir/file.txt file.,['wc -l /dir/file.txt'],0.6748913185157768,0.6748913185157768,0.6748913185157768
count lines of C or C++ or Obj-C code under the current directory,"['find . \\( -name ""*.c"" -or -name ""*.cpp"" -or -name ""*.h"" -or -name ""*.m"" \\) -print0 | xargs -0 wc']",1.3446474608782465e-80,3.589671344055818e-80,0.21064314254572383
count the lines of java code for all the java files in the current directory,"['find . -name ""*.java"" -print0 | xargs -0 wc']",0.4261723414728458,0.5862115812661808,0.5681276466407755
"Count the number of differing lines in ""file1"" and ""file2""",['diff file1 file2 | grep ^[\\>\\<] | wc -l'],0.4922852552611751,0.2670329315304419,0.5239301395959438
Count the number of files/directories named file1 under current directory,['find -name file1 | wc -l'],0.8851459462974709,0.8851459462974709,1.0
Counts the number of lines in each *.java file in a git repository.,"['git ls-files | grep ""\\.java$"" | xargs wc -l']",0.26383302224491384,0.5200417647285799,0.5200417647285799
"Counts the number of lines in each *.swift or *.mm file in a git repository, escaping any space in filename.","['git ls-files | sed \'s/ /\\\\ /g\' | grep -E ""\\.*(swift$|mm$)"" | xargs wc -l']",0.4334929232013615,0.5126920970278919,0.5386753204268065
"Count the number of open files for PID ""$PYTHONPID"" every 2 seconds","['watch ""ls /proc/$PYTHONPID/fd | wc -l""']",0.1682069793471363,0.03535683952726406,0.06306501514617685
"Create a full path symbolic link ""$newlink"" from a relative path symbolic link ""$origlink""",['ln -s $(readlink -f $origlink) $newlink'],0.6725328286372492,0.7541318575573049,0.8086856904088692
"Create a ssh tunnel on local port 2222 through ""bridge.example.com"" to ""remote.example.com"" port 22 without executing any commands and run in the background",['ssh -N -L 2222:remote.example.com:22 bridge.example.com&'],0.8539978546274737,0.7210791196020185,0.637062063217406
"Create a symbolic link in the current directory to ""$file""","['ln -s ""$file""']",1.0,0.7916963878457504,0.6780814773941114
"create a symbolic link named ""$ORACLE_HOME/include"" to file ""/usr/include/oracle/11.2/client""",['sudo ln -s /usr/include/oracle/11.2/client $ORACLE_HOME/include'],0.8932517286731004,0.9174044037758284,0.9174044037758284
"Create a symbolc link named ""public_html"" to ""current/app/webroot"" under the current working directory",['ln -s `pwd`/current/app/webroot public_html'],0.6790253796134038,0.7792122473084037,0.579508625587
"Create a symbolic link named ""~/bin/subl"" to ""/Applications/Sublime Text 2.app/Contents/SharedSupport/bin/subl""","['ln -s ""/Applications/Sublime Text 2.app/Contents/SharedSupport/bin/subl"" ~/bin/subl']",0.9379849061106765,1.0,1.0
"Create a symbolic link to file ""/usr/bin/perl"" named with escaped characters ""/usr/local/bin/perl\r\n""","[""sudo ln -s /usr/bin/perl /usr/local/bin/perl`echo -e '\\r'`""]",0.3275654600944145,0.4111805783112859,0.6119222641345787
create a zip file of all the files in some directory,['find $directory -type -f -execdir zip -j $ZipFileName {}\\;'],0.3668019706389679,0.2577889010433357,0.5579277554156276
"create archive ""backup.tar.gz"" from /path/to/catalog",['tar czfP backup.tar.gz /path/to/catalog'],0.29182633253972273,0.44736878361735705,0.853057040345572
Create empty file (or update timestamp to current date/time if file already exists) named with full timestamp (year/month/day/hour/minute/second).,['touch filename_`/bin/date +%Y%m%d%H%M%S`.txt'],0.15783753695752728,0.3083739857567323,0.1325092286943826
"Create empty files (or update timestamps if they exist) with names matching each word in variable ""correctFilePathAndName""","['echo -e ""$correctFilePathAndName"" | xargs touch']",0.04317777534606523,0.42832307414219467,0.534490235744316
"Create hard links of all files and directories matching ""test/icecream/cupcake/*"" or ""test/mtndew/livewire/*"" in ""test-keep"" preserving directory hierarchy","[""find test -path 'test/icecream/cupcake/*' -o -path 'test/mtndew/livewire/*' | cpio -padluv test-keep""]",0.4131131033826762,0.16677984846070623,0.5789506052506111
"Create symbolic links in the current directory for all files excluding ""CONFIGFILE"" located in ""/your/project""","['find /your/project -maxdepth 1 ! -name ""CONFIGFILE"" -exec ln -s \\{\\} ./ \\;']",0.43699964017699056,0.5140329910850733,0.46427691948055455
"Create symbolic links in the current directory for all files excluding ""CONFIGFILE"" located under ""/your/project"" directory tree","[""find /your/project -type f ! -name 'CONFIGFILE' -exec ln -s \\{\\} ./ \\;""]",0.5059935825823196,0.7046633610790266,0.6772982576790135
"create symbolic links in current directory to all files located in ""dir"" directory and have filename extension ""jpg""",['find dir -name \\*.jpg -print0 | xargs -0 -N1 ln -s'],0.502351320821642,0.3953238210751047,0.4772885397976923
Creates temporary file with name formatted like '.script.XXXXXX' in '/tmp/' folder and saves path to it in 'script2' variable.,['script2=`mktemp /tmp/.script.XXXXXX`;'],0.24403305609563003,0.19784821529538574,0.747039544145833
Creates temporary folder relative to directory '/path/to/dir'.,['mktemp -d -p /path/to/dir'],0.49972168093865427,0.8527101543415022,0.781418204877391
Delete all '-' character from $1 and save the resultant string to variable 'COLUMN',['COLUMN=`echo $1 | tr -d -`'],0.4516402471088488,0.41175891698384065,0.3464448111927798
Delete all broken symbolic links under '/usr/ports/packages' directory tree,['find -L /usr/ports/packages -type l -exec rm -- {}\t+'],0.6528574024905824,0.8394977652953556,0.29542239983738167
Delete all directories under '.cache/chromium/Default/Cache/' directory tree that are bigger than 100MB and are at least 1 level deep,['find .cache/chromium/Default/Cache/ -mindepth 1 -type d -size +100M -exec rm -rf {} \\;'],0.7548200097927918,0.7895180157219843,0.8043565676365082
delete all the empty in the current folder do not search in sub directories,['find . -maxdepth 1 -type d -empty -exec rm {} \\;'],0.9236568209081443,0.6589980076442714,0.7248786165419895
delete all the files in the file system which belong to the user edwarda after user confirmation,"['find / -user edwarda -ok rm ""{}"" \\;']",0.6645577319970796,0.6115432226420475,0.743991720478714
delete all the hidden in the folder Musica after user confirmation,"['find Música/* -type f -name "".*"" -exec /usr/bin/rm -i {} \\;']",0.5315270738916313,0.3712305030503298,0.3620263972796283
Delete all in the current directory tree,['find . -delete'],0.295179192943077,0.1759046596549957,0.23245687974745427
"Delete all regular files that start with 'sess_' in their names, are at least 1 level deep and were modified more than $gc_maxlifetime minutes ago under $save_path directory tree","['find -O3 ""$save_path"" -depth -mindepth 1 -name \'sess_*\' -ignore_readdir_race -type f -cmin ""+$gc_maxlifetime"" -delete']",0.4539557158654396,0.5394340912200039,0.4605619625840472
Delete all regular files under $DIR directory tree that have been modified before file $a,"['find ""$DIR"" -type f \\! -newer ""$a"" -exec rm {} +']",0.7765936748586039,0.6596512907223578,0.6596512907223578
Delete files under $LOCATION that match $REQUIRED_FILES in their names and were modified more than 360 minutes ago,['find $LOCATION -name $REQUIRED_FILES -type f -mmin +360 -delete'],0.7241524845303607,0.6446983137211186,0.7151564474195219
Disables shell option 'nullglob'.,['shopt -u nullglob'],1.0,1.0,0.8282477531331041
Display 12345 backwards,['echo 12345 | rev'],1.0,1.0,1.0
dispaly a list of all the files in the file system which belong to a specific user  and exclude searching in the folder proc,['find / -path /proc -prune -o -user <account> -ls'],0.4576703613981237,0.37812232299720855,0.369634447217796
Display a list of files with sizes in decreasing order of size of all the regular files under $dir directory tree that are bigger than $size in size,['find $dir -type -f size +$size -print0 | xargs -0 ls -1hsS'],0.2695574816718871,0.5489525744935347,0.5489525744935347
dispaly a long listig of all the files in the home folder which are bigger than 100KB and discard any errors,['find /home -size +100000 -ls 2>/dev/null'],0.507329829796282,0.507329829796282,0.5453021219163635
display a long list of all the files that are bigger than 10KB in current folder,['find . -size +10k -exec ls -l {} \\;'],1.0,0.9701154303042088,0.4918265177356718
display a long listing of all the regular/normal files in the file system which have set uid bit or set gid bit enabled.,['find / -type f \\( -perm -4000 -o -perm -2000 \\) -exec ls -l {} \\;'],0.6299579381864671,0.34701619779517173,0.7135469856623758
display a long listing of all the temp files whose size is 0 bytes and which have not been accessed in the last 10 days,['find /tmp -size 0 -atime +10 -exec ls -l {} \\; > /tmp/checkold.txt'],0.6147239593690871,0.5211328765545549,0.6923098202720886
"display all the "".c"" files in the current directory",['find . -name \\*.c -print'],0.5573260228443738,0.5573260228443738,0.5573260228443738
display all the directories in the folder /path/to/dest except tmp directory,['find /path/to/dest -type d \\( ! -name tmp \\) -print'],0.7838850459769391,0.7838850459769391,0.6401913619821079
display all executable files in the folder /home,['find /home -perm /a=x'],0.40875013319417414,0.40875013319417414,0.40875013319417414
"display all the files having the word ""searched phrasse"" in their name in the current folder excluding those from the paths ""/tmp/"" and ""./var/log""","['find . -type f -name ""*searched phrasse*"" ! -path ""./tmp/*"" ! -path ""./var/log/*""']",0.40789011563964,0.6060907204802772,0.47373583803581876
display all the files in the kat folder,"['find kat -printf ""%f\\n""']",0.09711223049106384,0.44691277609077107,0.3603212181157101
display all the files  in the current folder excluding the perl files,"['find . -not -name ""*.pl""']",0.5975969817602502,0.22559933282277986,0.5442426669952706
"display all the files in the current folder excluding search in the paths containing the folder having the word ""mmm""",['find . ! -path *mmm*'],0.35880614325907045,0.3538995029906512,0.4495722771653879
display all the files in current folder which are bigger than 10KB,['find . -size +10k'],1.0,0.7294246829467232,1.0
"display all the files in the entire file system which begin with ""apache-tomcat""","['find / -name ""apache-tomcat*""']",0.8710050512714447,0.8696398662122882,0.8710050512714447
display all the files in the file system which belong to the group lighttpd,['find / -group lighttpd -print'],1.0,0.7274705090242837,1.0
"display all the files in the folder ""/Users/Me/Desktop"" which have read permission to them",['find /Users/Me/Desktop -readable'],0.728281156510351,0.6847516225198526,0.728281156510351
"display all the files in the home folder which begin with ""arrow""","[""find ~ -name 'arrow*'""]",0.8137489370974955,0.7178970818142898,0.8137489370974955
display all the files in the home folder which have read permission to the user,['find /home -perm /u=r'],0.4408775025210474,0.4408775025210474,0.4628692516962493
"display all the hidden files in the directory ""/dir/to/search/""","['find /dir/to/search/ -name "".*"" -print']",0.8663332145328005,0.5406569160027072,0.5021421839447381
display all the jpg files in the current folder which belong to the user nobody,['find . -name *.jpg -user nobody'],0.7571389552562844,0.8253402790009298,0.7571389552562844
Display all lines contiaining 'funcname' in system map file matching current kernel.,['cat /boot/System.map-`uname -r` | grep funcname'],0.1590178822056068,0.3324199342896981,0.2353111647041803
"display all the log files in the folder /var/log, print0 is used to handle files with only spaces in their names or which have newlines in their names","['find /var/log -name ""*.log"" -print0']",0.3336945361176839,0.28373262977083563,0.8624464713275483
display all mp3 files in the file system which have not been accessed in the last 24 hours,['find / -name “*.mp3” -atime +01 -type f'],0.5424340481907751,0.48853266442119275,0.46610048911630075
"display all php,xml and phtml files in current folder","[""find . -name '*.php' -o -name '*.xml' -o -name '*.phtml'""]",1.0,0.7422222639609348,0.544126151850878
display all normal/regular files in current folder in sorted order,['find . -type f print0 | sort -r'],0.4884848026519855,0.6657291762257344,0.6125220320024688
display all regular/normal files in the current folder which are accessed in the last 7*24 hours,['find . -type f -atime -7'],0.9210589320522863,0.9210589320522863,0.9210589320522863
display all normal/regular files in current folder which have readable permission,['find . -type f -readable'],0.3279074903447989,0.6083390278836109,0.6342834010525137
display all the text files from the current folder and skip searching in skipdir1 and skipdir2 folders,"['find . \\( -name skipdir1 -prune , -name skipdir2 -prune -o -name ""*.txt"" \\) -print']",0.6999605832137604,0.7472825238350189,0.4034083855538325
display all text files in the folder /tmp/1 excluding those which do not have spaces in their names,"[""find /tmp/1 -iname '*.txt' -not -iname '[0-9A-Za-z]*.txt'""]",0.49552523375831586,0.46529465930024105,0.49290877817939754
"Displays calendar of a previous, current and next month for December of 2120 year.",['cal -3 12 2120'],0.08436491880629979,0.1258220555845937,0.30166728533047465
display the count of number html files in the current folder,"['find . -name ""*.html"" -print | xargs -l -i wc {}']",0.7324470445192822,0.546871583773032,0.6833197172735636
(Linux specific) Display current running kernel's compile-time config file.,['cat /boot/config-`uname -r`'],0.11535569229124434,0.6536683618113611,0.8266114125804572
"Display file type information for all instances of ""file"" in the current PATH.",['which file | xargs file'],0.5423715846411196,0.535722635167006,0.21590587116106086
Display human-readable file type description of ascii.txt,['file ascii.txt'],1.0,1.0,1.0
display long listing of all the symbolic links in the current folder,['find . -type l -exec ls -l {} \\;'],0.32519770260582526,0.3957155686899126,0.09672431791008795
Displays status of currently active network interfaces.,['ifconfig'],0.2033717397090786,0.19710660977672478,0.08955181329490258
"Download ""https://s3.amazonaws.com/sampletest/sample.tar.gz"", unzip it, and untar it replacing filenames with ""old"" to ""new""","['curl https://s3.amazonaws.com/sampletest/sample.tar.gz | gunzip | pax -r -s ""/old/new/""']",0.6586222278037178,0.06280557104571224,0.1903628782220412
"download a file ""http://download.oracle.com/otn-pub/java/jce/8/jce_policy-8.zip"" using cookies ""oraclelicense=accept-securebackup-cookie""","['curl -L -C - -b ""oraclelicense=accept-securebackup-cookie"" -O http://download.oracle.com/otn-pub/java/jce/8/jce_policy-8.zip']",0.8585238102885293,0.8643561459479039,0.8890867744459934
"download contents from  ""http://url"" using a proxy server",['curl -x http://proxy_server:proxy_port --proxy-user username:password -L http://url'],0.034416885627081104,0.39121277800703114,0.3799061745080635
"download contents from ""http://www.example.com"" using a proxy server",['curl http://www.example.com --proxy http://125.119.175.48:8909'],0.2735430415717504,0.30643700690300346,0.2735430415717504
"Dry run making directories in ""/TARGET_FOLDER_ROOT/"" for each "".mov"" file in the current directory tree","['find . -type f -iname \\*.mov -printf \'%h\\n\' | sort | uniq | xargs -n 1 -d \'\\n\' -I \'{}\' echo mkdir -vp ""/TARGET_FOLDER_ROOT/{}""']",0.36944928937287846,0.3913177506625865,0.26124123280055395
"Dump the character output of ""echo 'hi'""","[""echo 'hi' | od -c""]",1.0,1.0,0.9351334836242398
Enables shell option 'nullglob'.,['shopt -s execfail'],0.4924790605054523,0.4924790605054523,0.4924790605054523
"Execute ""cd ${REMOTE_PATH}; mkdir -p $i"" on host ""$SERVER"" as user ""$USER"" and connect standard input to ""/dev/null""","['ssh $USER@$SERVER ""cd ${REMOTE_PATH}; mkdir -p $i"" < /dev/null']",0.3484019095007014,0.7218102170410569,0.40939908973010025
"Execute ""cd /some/directory/myprogram"" in the background on target machine ""user@target"" and write standard output and standard error to foo.out and foo.err","['ssh user@target ""cd /some/directory; nohup myprogram > foo.out 2> foo.err < /dev/null""']",0.7419216161689096,0.5810759764392917,0.6795232710640814
"Execute ""ls -l"" every 0.5 seconds",['watch -n 0.5 ls -l'],0.4781982357165065,1.0,0.4781982357165065
"Execute all commands in ""/path/to/commands-inc.sh"" on server ""remote"" as user ""user""","[""ssh user@remote 'bash -s' < /path/to/commands-inc.sh""]",0.5128584986188468,0.5455995547397557,0.3501310360964853
Execute Shell script with find comamnd,"['find -maxdepth 0 -name ""*.sh""  -exec ./lastline.sh {} \\;']",0.157390946104113,5.766502039490277e-79,0.3900995037654894
"Extract any line in sorted file ""A"" that does not appear in ""B"", ""C"", or ""D""",['cat B C D | sort | comm -2 -3 A -'],0.28971079633769714,0.6444313071075364,0.29714803855908456
Extract protocol and host name from URL.,"['echo ""$url"" | cut -d\'/\' -f1-3']",0.3570929047358231,0.15980833465313435,0.2934509587426189
"Extract, sort and print only group names from /etc/group.",['cut -d: -f1 /etc/group | sort'],0.37511784620808325,0.24575757603043244,0.7512189783898263
